Username,Password,Role
1,emp1,Employee
2,emp2,Employee
3,emp3,Payroll
4,emp4,Employee
5,emp5,IT
6,emp6,HR
7,emp7,HR
8,emp8,HR
9,emp9,HR
10,emp10,Payroll
11,emp11,Payroll
12,emp12,Payroll
13,emp13,Payroll
14,emp14,Employee
15,emp15,Payroll
16,emp16,Employee
17,emp17,Employee
18,emp18,Employee
19,emp19,Employee
20,emp20,Employee
21,emp21,Employee
22,emp22,Employee
23,emp23,Employee
24,emp24,Employee
25,emp25,Employee
26,emp26,Employee
27,emp27,Employee
28,emp28,Employee
29,emp29,Employee
30,emp30,Employee
31,emp31,Employee
32,emp32,Employee
33,emp33,Employee
34,emp34,Employee
